,omni_id,artwork_name,artist_full_name,artist_first_name,artist_last_name,date,century,source_url,image_url,general_type,genre,school,palette_families,palette,geocoded,media,style,location,tag,dominant_color,dominant_color_family,description,dbp_name,dbp_birthplace,dbp_lat,dbp_long
47,9009951,mother and child,pablo picasso,pablo,picasso,1921,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=114&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/3b85e563-16a3-c8f2-6157-5db276266b7b/full/6000,/0/default.jpg",oil on canvas,modern art,spain,Reds Grays,"[u'#c68b7b', u'#96877e', u'#837f7b', u'#816f66', u'#6e655e', u'#6c3f33', u'#c3bab4', u'#baaca6', u'#b9a098', u'#a3685a', u'#794c3f', u'#523e35']",f,"oil paint (paint), canvas",cubism,gallery 394,"oil paint (paint), oil on canvas, canvas, children, women, painting, oil painting, modern and contemporary art, cubism, painting (image making), nurturing, babies, mothers, love",#837f7b,Grays,"<p>in 1917 picasso traveled to rome to design sets and costumes for sergei diaghilevs famed ballets russes. deeply impressed by the ancient and renaissance art of that city, he began painting monumental figures inspired by antiquity. his new classical style was influenced by the finely modeled odalisques of jean-auguste-dominique ingres and the late, oddly proportioned female nudes of pierre-auguste renoir. <em>mother and child</em> was also inspired by picassos own life. just three years earlier he had married russian dancer olga khokhlova, and in 1921 their son paolo was born. between 1921 and 1923 he produced at least twelve works on the subject of mothers and children, returning to a theme that he had explored during his blue period. but whereas those figures are frail and anguished, his classical-period figures, with their sculptural modeling and solidity, are majestic in proportion and feeling. here an infant sits on the mothers lap an",Pablo Picasso,Málaga,36.7213028,-4.4216366
48,9009975,the red armchair,pablo picasso,pablo,picasso,1931,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=115&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/e3399285-7859-08a2-ed1f-5dfac8c084eb/full/6000,/0/default.jpg",painting,modern art,spain,Reds Greens Whites Magentas Yellows Grays,"[u'#f4f5a8', u'#c3a767', u'#7b8d4b', u'#6e4f53', u'#3b2d2f', u'#edde75', u'#9952ac', u'#8b3c50', u'#8a6a98', u'#574241', u'#423e37', u'#167641']",f,"oil paint (paint), panel (wood), enamel paint",cubism,gallery 394,"oil paint (paint), green (color), purple (color), yellow (color), brown (color), panel (wood), women, painting, red (color), modern and contemporary art, enamel paint, cubism, painting (image making), armchairs",#167641,Greens,"<p>pablo picasso painted numerous portraits of the many women in his life. often the circumstances surrounding his relationships or the distinct personalities of his sitters seem to have precipitated stylistic changes in his work. marie-thrse walter came into the artists life around 1925. though twenty-eight years older and married, the smitten artist began to furtively reference her blond hair, broad features, and voluptuous body in his work. perhaps acknowledging the double life they were leading, he devised a new motif: a face that encompasses both frontal and profile views.</p>
<p>picasso experimented beyond form and style, exploring different materialsincluding found objects such as newspaper, wallpaper, and even studio scrapsin his work. <em>the red armchair</em> demonstrates the artists innovative use of ripolin, an industrial house paint that he first employed as early as 1912 for its brilliant colors as well as for its ability to pr",Pablo Picasso,Málaga,36.7213028,-4.4216366
53,9010974,cotton pickers,thomas hart benton,thomas,hart benton,1945,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=126&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/df09d399-a5ff-703f-fb3b-eb4997292dab/full/6000,/0/default.jpg",oil on canvas,american art,united states,Reds Grays Yellows Blacks,"[u'#b2a997', u'#83a9ab', u'#786752', u'#504d3e', u'#392319', u'#c9ccb6', u'#ab9073', u'#a9b6aa', u'#926c4c', u'#839086', u'#744a32', u'#483828']",f,"oil paint (paint), canvas",modernism,gallery 263,"oil paint (paint), people, modernism, oil on canvas, canvas, farm life, portraits, painting, oil painting, painting (image making)",#83a9ab,Grays,"<p>the american regionalist thomas hart benton painted <em>cotton pickers</em> based on notes of a trip he made to georgia in the late 1920s. he depicted the dignity of the cotton pickers in the face of backbreaking labor and intense summer heat, rendering the dry fields and the working bodies in a sinuous, curvilinear style. benton held progressive views on race, social relations, and politics, and he believed ardently that african american history was central to the understanding of american culture. cotton sharecropping, an agricultural system that developed after the civil war, allowed landowners to rent land to poor farmers in return for a share of the crops. because sharecropping kept agricultural laborers impoverished, it became a symbol of a racially and economically unjust system. cotton cultivation became one of bentons most important subjects, especially as the rapid industrialization of the nation during world war ii changed the",Thomas Hart Benton (painter),Missouri,38.7604815,-92.5617875
54,9011043,ball clock,irving harper,irving,harper,1948,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=127&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/b2acc426-e704-f16e-fa17-0db5d083e91e/full/6000,/0/default.jpg",clock,american art,zeeland,Grays,"[u'#8b8b8b', u'#898989', u'#878787', u'#818181', u'#373737', u'#bcbcbb', u'#909090', u'#8e8e8e', u'#8a8a8a', u'#888888', u'#858685', u'#848484']",f,"metal, wood (plant material), chromium",modernism,gallery 162,"american decorative arts, modernism, clock, metal, wood (plant material), chromium, american arts, enameling, decorative arts, furniture accessory",#909090,Grays,"<p>introducing a modern scientific reference into domestic design, this work belongs to the <em>chronopak</em> series of electric clocks designed by irving harper during his tenure with george nelson associates. this clock is not only symbolic of american design following world war ii, but it also represents design philosophies that embodied issues such as informal living and portability. although the clock is completely abstract, it suggests both the structure of the atom and the iconic asterisk symbol that abounded in the 1950s.</p>",Irving Harper,New York City,40.7308619,-73.9871558
59,9011064,chess table,isamu noguchi,isamu,noguchi,1944,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=127&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/58a073a3-e339-0339-4d52-6301abacddf8/full/6000,/0/default.jpg",table,american art,united states,Whites Grays Blacks,"[u'#f2f1ef', u'#f0efed', u'#ecebe7', u'#e5e3df', u'#2f2d29', u'#f9f8f6', u'#f7f6f4', u'#f5f4f2', u'#f4f2f1', u'#c2c0bb', u'#706a5c', u'#575248']",f,"aluminum (metal), wood (plant material), lucite (tm), plywood",surrealism,gallery 162,"modernism, surrealism, aluminum (metal), furniture, table, wood (plant material), lucite (tm), plywood",#f9f8f6,Whites,"<p>this elegant chess table epitomizes isamu noguchis synthesis of eastern and western influences. the artist relied on a surrealist vocabulary for his design, combining the soft, organic shape of the tabletop and undulating underside with a more solid, irregular base. he also looked to the gestural profiles of calligraphywhich he had studied in china in the 1930sand to japanese joinery techniques, which he utilized for the bases interlocking legs. descriptions of the table as practical for tea inspired the herman miller furniture company to begin production of the design, and the companys 1949 catalog touted it as ideal as a small coffee table.</p>",Isamu Noguchi,Los Angeles,34.0536834,-118.2427669
60,9011073,buoy,peter blume,peter,blume,1941,20,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=127&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/cdb40a87-907b-8744-ca33-0469590270b0/full/6000,/0/default.jpg",oil on canvas,american art,united states,Reds Grays Yellows Blacks Cyans,"[u'#b4ad96', u'#8d8b78', u'#563f2b', u'#8d7d54', u'#3d6f91', u'#82602f', u'#787257', u'#586059', u'#557a92', u'#47728f', u'#326077', u'#29241b']",f,"oil paint (paint), canvas",surrealism,gallery 162,"oil paint (paint), modernism, surrealism, oil on canvas, canvas, painting, modern and contemporary art",#3d6f91,Cyans,"<p>as peter blume struggled with the commission for <em>the rock</em> (also in the collection of the art institute of chicago) his health deteriorated and he traveled to key west, florida, during the winter of 1940 to recuperate. buoy was one of three works he completed upon his return to pennsylvania. blume spoke of the buoys he viewed in florida: <blockquote>theyd put out these bright red balls, and inside of three or four weeks theyd be covered with . . . all sorts of odd growths . . . i watched them stripping this stuff off and getting to the red thing again . . . i saw these balls, great big buoys, as a form of the earth and the laceration down to the red thing as a sort of bleeding world going on.</blockquote></p>",Peter Blume,Belarus,53.4250605,27.6971358
61,9011090,the irish question,de scott evans,de,scott evans,1880,19,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=128&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/04e445ea-d5db-87db-d1d2-197ee9f774f9/full/6000,/0/default.jpg",painting,american art,united states,Reds Yellows Blacks,"[u'#a1754b', u'#8b5d35', u'#6f4726', u'#664124', u'#5e3920', u'#40271c', u'#be9e79', u'#7a502b', u'#774a26', u'#734825', u'#704422', u'#6c4221']",f,"oil paint (paint), canvas",realism,gallery 173,"oil paint (paint), still life, realism, canvas, painting",#40271c,Blacks,"<p>a seemingly uncomplicated representation of two potatoes suspended by a string against a wood panel, <em>the irish question</em> is an unusual and striking trompe loeil painting that raises numerous questions. the title may refer to the troubled status of the irish in the late 19th century; the hanging potatoes inflect this allusion with either ominous overtones or a dark sense of humor. illusionistic paintings such as <em>the irish question</em> offer an enjoyable form of visual deception, and the pseudonymous signature s.s. david suggests that de scott evans relished the opportunity to puzzle his viewers on many levels.</p>",De Scott Evans,"Boston, Indiana",39.7415986,-84.8512012
80,9011401,portrait of mary adeline williams,thomas eakins,thomas,eakins,1899,19,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=131&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/9861acd6-b4e0-da5c-a79b-801fba0970aa/full/6000,/0/default.jpg",painting,american art,philadelphia,Grays Blacks,"[u'#aa957d', u'#352920', u'#29211b', u'#21211d', u'#443e33', u'#373229', u'#31281f', u'#2f241c', u'#2a2823', u'#29241e', u'#1c1c19', u'#2f302a']",f,"oil paint (paint), organic material",realism,gallery 176,"oil paint (paint), people, realism, organic material, american arts, portraits, painting, fashion",#21211d,Blacks,"<p>during his lifetime, thomas eakins painted more than 200 portraits, only 25 of which were commissioned. mary adeline williams was a personal friend of the artist; eakins first met her when she was a childhood playmate of his sister. later, as an unmarried woman, williams lived with eakins and his wife, susan. the person presented by this portraitstraitlaced, severe, and spinsterishis in marked contrast with the active woman described by susan eakins in her diary as riding bicycles, going to art exhibitions, and lunching out between sittings for the painting.</p>",Thomas Eakins,Pennsylvania,40.9699889,-77.7278831
82,9011461,thistles,john singer sargent,john,singer sargent,1883,19,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=131&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/46aca8d3-86ad-5c61-62dc-ebfe655930a4/full/6000,/0/default.jpg",painting,american art,england,Reds Grays Yellows,"[u'#726044', u'#836b4b', u'#7f6142', u'#58351e', u'#ad9c7d', u'#988464', u'#917856', u'#847456', u'#764829', u'#725437', u'#6a4024', u'#614c32']",f,"oil paint (paint), organic material",impressionism,gallery 176,"oil paint (paint), modernism, still life, organic material, impressionism, chicago, american arts, painting",#6a4024,Reds,"<p>beginning in 1885, john singer sargent spent more and more time painting out of doors, exploring the techniques and subjects of impressionism, inspired by a growing friendship with claude monet. working alongside fellow american artists in the rural english environs of worcestershire, sargent experimented with distinctly broken brushwork and a high-keyed palette. <em>thistles</em> captures the tangled movement of the windblown plants in light and shadow. the landscape composition is remarkably abstract, the dynamic patterning of the thistles asserting the flatness of the picture plane more so than any sense of depth. sargent continued painting en plein air throughout his life, a practice that provided needed respite from his busy schedule as an acclaimed portraitist.</p>",John Singer Sargent,Florence,43.7698712,11.2555757
83,9011494,"study for ""william rush carving his allegorical figure of the schuylkill river""",thomas eakins,thomas,eakins,1876,19,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=132&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/474c7ee5-13d8-5bce-0d8e-1200f6ba9396/full/6000,/0/default.jpg",painting,american art,united states,Reds Grays Yellows Blacks,"[u'#675538', u'#523d2a', u'#514532', u'#312b23', u'#22211d', u'#968257', u'#5d482f', u'#493a2a', u'#413629', u'#403023', u'#392e23', u'#2c241e']",f,"oil paint (paint), organic material",realism,gallery 176,"oil paint (paint), people, realism, organic material, american arts, portraits, painting",#22211d,Blacks,"<p>best known for his realist portraits and scenes of contemporary life, thomas eakins also spent considerable energy on history paintings. here, he executed a study for a painting that celebrates an early american sculptor, william rush. in the finished painting, rush is depicted carving his <em>water nymph and bittern</em> (1809), for which the model poses; the statue adorned a public square in philadelphia, the hometown of both artists. eakins, an ardent advocate of studying from life, highlights this artistic working method in his rendering of the female form. in 1870s america, artistic studies from the nude figure remained a rarity, a condition that eakins worked hard to overturn in the following years as an instructor at the pennsylvania academy of the fine arts.</p>",Thomas Eakins,Pennsylvania,40.9699889,-77.7278831
84,9011530,an alcove in the art students' league,charles courtney curran,charles,courtney curran,1888,19,http://data-aggregator-lb-v1-1312266121.us-east-2.elb.amazonaws.com/api/v1/artworks?page=132&limit=100,"https://lakeimagesweb.artic.edu/iiif/2/f5e5fe5d-29e2-71aa-daaa-54ef776e5dc1/full/6000,/0/default.jpg",painting,american art,new york city,Reds Grays Blacks,"[u'#423026', u'#503729', u'#8c7f69', u'#594131', u'#514d3e', u'#504132', u'#6e604d', u'#60503d', u'#464032', u'#42362b', u'#363027', u'#302820']",f,"oil paint (paint), organic material",impressionism,gallery 176,"oil paint (paint), organic material, impressionism, american arts, painting",#363027,Blacks,"<p>charles courtney curran documented the atmosphere and activity of the art students' league in new york, where he studied and later taught. here male and female students work alongside one another to practice rendering the idealized human form. students at the art students' league worked from casts of greek and roman sculptures, as well as from reproductions of classically inspired renaissance works, such as michelangelo's allegorical <em>night</em> from the tomb of guiliano de'medici, which occupies the lower left corner of this painting. in the 19th century, <em>night</em> would not only have served as an effective demonstration of antiquity but would also have represented one of the more difficult poses to illustrate. once students mastered drawing antique and antique-inspired sculptures, they would have advanced to a class with live models.</p>",Charles Courtney Curran,"Hartford, Kentucky",37.4511591,-86.9091596
